,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Region,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
106669,32570452,01/31/2016 12:45:10 PM,01/31/2016 03:14:22 PM,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,11201,145 SMITH STREET,SMITH STREET,DEAN STREET,BERGEN STREET,,,ADDRESS,BROOKLYN,Precinct,Closed,01/31/2016 08:45:10 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/31/2016 03:14:22 PM,02 BROOKLYN,BROOKLYN,986927.0,189527.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.686884199935065,-73.99034742693254,"(40.686884199935065, -73.99034742693254)"
106679,32569925,01/31/2016 12:40:40 PM,01/31/2016 02:18:46 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11379,,,,,FURMANVILLE AVENUE,79 PLACE,INTERSECTION,MIDDLE VILLAGE,Precinct,Closed,01/31/2016 08:40:40 PM,The Police Department issued a summons in response to the complaint.,01/31/2016 02:18:46 PM,05 QUEENS,QUEENS,1019397.0,200794.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71774006103506,-73.87321024851886,"(40.717740061035066, -73.87321024851886)"
106638,32569907,01/31/2016 12:52:45 PM,01/31/2016 02:48:45 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11378,53-66 61 STREET,61 STREET,62 STREET,54 AVENUE,,,ADDRESS,MASPETH,Precinct,Closed,01/31/2016 08:52:45 PM,The Police Department responded to the complaint and determined that police action was not necessary.,01/31/2016 02:48:45 PM,05 QUEENS,QUEENS,1010844.0,204815.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72880657094782,-73.90404853611426,"(40.72880657094782, -73.90404853611427)"
40058,32658160,02/12/2016 06:55:05 AM,02/12/2016 11:50:54 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11223,1616 OCEAN PARKWAY,OCEAN PARKWAY,AVENUE P,ESTATE ROAD,,,ADDRESS,BROOKLYN,Precinct,Closed,02/12/2016 02:55:05 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,02/12/2016 11:50:54 PM,15 BROOKLYN,BROOKLYN,993233.0,161208.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.609150533340774,-73.96764732825504,"(40.60915053334077, -73.96764732825505)"
26092,32667889,02/13/2016 11:41:15 PM,02/14/2016 04:54:37 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11358,PIDGEON MEADOW ROAD,PIDGEON MEADOW ROAD,,,,,LATLONG,FLUSHING,Precinct,Closed,02/14/2016 07:41:15 AM,The Police Department responded to the complaint and determined that police action was not necessary.,02/14/2016 04:54:37 AM,07 QUEENS,QUEENS,1038618.0,213141.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.751532207475016,-73.80377257443952,"(40.751532207475016, -73.80377257443952)"
106423,32572922,01/31/2016 01:58:13 PM,01/31/2016 07:22:01 PM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10472,1935 HAVILAND AVENUE,HAVILAND AVENUE,VIRGINIA AVENUE,PUGSLEY AVENUE,,,ADDRESS,BRONX,Precinct,Closed,01/31/2016 09:58:13 PM,The Police Department responded to the complaint and took action to fix the condition.,01/31/2016 07:22:01 PM,09 BRONX,BRONX,1023248.0,241470.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.82936873175432,-73.85908207000031,"(40.829368731754315, -73.85908207000031)"
26070,32674104,02/13/2016 11:46:43 PM,02/14/2016 01:37:15 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10463,3405 RIVERDALE AVENUE,RIVERDALE AVENUE,WEST 232 STREET,GREYSTONE AVENUE,,,ADDRESS,BRONX,Precinct,Closed,02/14/2016 07:46:43 AM,The Police Department responded to the complaint and took action to fix the condition.,02/14/2016 01:37:15 AM,08 BRONX,BRONX,1009782.0,261413.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.884155461398116,-73.90766499082241,"(40.884155461398116, -73.9076649908224)"
106445,32574031,01/31/2016 01:53:07 PM,01/31/2016 03:19:46 PM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10026,2 WEST 116 STREET,WEST 116 STREET,5 AVENUE,LENOX AVENUE,,,ADDRESS,NEW YORK,Precinct,Closed,01/31/2016 09:53:07 PM,The Police Department responded to the complaint and took action to fix the condition.,01/31/2016 03:19:46 PM,10 MANHATTAN,MANHATTAN,999005.0,231019.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.80075743747106,-73.9467062518749,"(40.80075743747106, -73.94670625187489)"
67524,32620018,02/07/2016 07:48:26 PM,02/07/2016 11:27:09 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11423,97-01 193 STREET,193 STREET,WOODHULL AVENUE,DEAD END,,,ADDRESS,HOLLIS,Precinct,Closed,02/08/2016 03:48:26 AM,The Police Department responded to the complaint and determined that police action was not necessary.,02/07/2016 11:27:09 PM,12 QUEENS,QUEENS,1048984.0,198357.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71088408378165,-73.76650153834275,"(40.71088408378165, -73.76650153834275)"
4097,32702053,02/16/2016 02:36:03 PM,02/16/2016 07:27:09 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11238,942 ATLANTIC AVENUE,ATLANTIC AVENUE,ST JAMES PLACE,GRAND AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,02/16/2016 10:36:03 PM,The Police Department responded to the complaint and took action to fix the condition.,02/16/2016 07:27:09 PM,08 BROOKLYN,BROOKLYN,994528.0,187311.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68079622318979,-73.96294355929365,"(40.68079622318979, -73.96294355929365)"
106418,32571663,01/31/2016 01:59:59 PM,02/03/2016 01:26:58 AM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10467,3214 WHITE PLAINS ROAD,WHITE PLAINS ROAD,BURKE AVENUE,ROSEWOOD STREET,,,ADDRESS,BRONX,Precinct,Closed,01/31/2016 09:59:59 PM,The Police Department reviewed your complaint and provided additional information below.,02/03/2016 01:26:58 AM,12 BRONX,BRONX,1020997.0,256956.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.87188281761559,-73.86713108999393,"(40.871882817615585, -73.86713108999393)"
106415,32569898,01/31/2016 02:00:57 PM,01/31/2016 06:34:34 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11385,80-17 64 LANE,64 LANE,80 AVENUE,BEND,,,ADDRESS,RIDGEWOOD,Precinct,Closed,01/31/2016 10:00:57 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,01/31/2016 06:34:34 PM,05 QUEENS,QUEENS,1014990.0,192740.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69565016056036,-73.88914486849106,"(40.695650160560355, -73.88914486849106)"
106413,32571117,01/31/2016 02:02:08 PM,01/31/2016 08:10:47 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10021,346 EAST 69 STREET,EAST 69 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,Precinct,Closed,01/31/2016 10:02:08 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,01/31/2016 08:10:47 PM,08 MANHATTAN,MANHATTAN,995704.0,218493.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76638179954664,-73.95865052480337,"(40.76638179954664, -73.95865052480337)"
26059,32671025,02/13/2016 11:48:12 PM,02/14/2016 02:02:45 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11378,66-57 58 AVENUE,58 AVENUE,66 STREET,BROWN PLACE,,,ADDRESS,MASPETH,Precinct,Closed,02/14/2016 07:48:12 AM,The Police Department issued a summons in response to the complaint.,02/14/2016 02:02:45 AM,05 QUEENS,QUEENS,1012859.0,203056.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.723972259525254,-73.89678587692158,"(40.723972259525254, -73.89678587692158)"
44824,32649826,02/11/2016 12:40:33 PM,02/11/2016 05:57:56 PM,NYPD,New York City Police Department,Illegal Parking,Overnight Commercial Storage,Street/Sidewalk,11426,82-11 COMMONWEALTH BOULEVARD,COMMONWEALTH BOULEVARD,82 AVENUE,83 AVENUE,,,ADDRESS,BELLEROSE,Precinct,Closed,02/11/2016 08:40:33 PM,The Police Department responded to the complaint and determined that police action was not necessary.,02/11/2016 05:57:56 PM,13 QUEENS,QUEENS,1060964.0,208203.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73781307021248,-73.7231771691648,"(40.737813070212475, -73.7231771691648)"
67503,32619333,02/07/2016 07:54:45 PM,02/07/2016 10:40:23 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10002,5 PIKE STREET,PIKE STREET,ALLEN STREET,EAST BROADWAY,,,ADDRESS,NEW YORK,Precinct,Closed,02/08/2016 03:54:45 AM,The Police Department issued a summons in response to the complaint.,02/07/2016 10:40:24 PM,03 MANHATTAN,MANHATTAN,986260.0,199422.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.714043837395224,-73.99274950409962,"(40.71404383739523, -73.99274950409963)"
106491,32571034,01/31/2016 01:39:25 PM,02/03/2016 01:25:49 AM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10467,3214 WHITE PLAINS ROAD,WHITE PLAINS ROAD,BURKE AVENUE,ROSEWOOD STREET,,,ADDRESS,BRONX,Precinct,Closed,01/31/2016 09:39:25 PM,The Police Department reviewed your complaint and provided additional information below.,02/03/2016 01:25:49 AM,12 BRONX,BRONX,1020997.0,256956.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.87188281761559,-73.86713108999393,"(40.871882817615585, -73.86713108999393)"
4042,32703437,02/16/2016 02:41:15 PM,02/16/2016 03:20:37 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10039,,,,,WEST  146 STREET,BRADHURST AVENUE,INTERSECTION,NEW YORK,Precinct,Closed,02/16/2016 10:41:15 PM,The Police Department reviewed your complaint and provided additional information below.,02/16/2016 03:20:37 PM,10 MANHATTAN,MANHATTAN,1000184.0,239455.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.82390985553632,-73.94242778379234,"(40.823909855536314, -73.94242778379234)"
44800,32648719,02/11/2016 12:43:45 PM,02/11/2016 08:54:41 PM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11436,115-34 140 STREET,140 STREET,115 AVENUE,116 AVENUE,,,ADDRESS,JAMAICA,Precinct,Closed,02/11/2016 08:43:45 PM,The Police Department responded to the complaint and determined that police action was not necessary.,02/11/2016 08:54:41 PM,12 QUEENS,QUEENS,1039091.0,187501.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6811538121864,-73.80227429197912,"(40.681153812186395, -73.80227429197912)"
106510,32572897,01/31/2016 01:31:59 PM,01/31/2016 03:08:00 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11377,34-43 57 STREET,57 STREET,BROADWAY,37 AVENUE,,,ADDRESS,WOODSIDE,Precinct,Closed,01/31/2016 09:31:59 PM,The Police Department reviewed your complaint and provided additional information below.,01/31/2016 03:08:00 PM,02 QUEENS,QUEENS,1010698.0,213231.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.751906822936405,-73.90454221558338,"(40.75190682293641, -73.90454221558338)"
106511,32574071,01/31/2016 01:31:21 PM,01/31/2016 02:41:01 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11357,145-79 5 AVENUE,5 AVENUE,I 678,147 STREET,,,ADDRESS,WHITESTONE,Precinct,Closed,01/31/2016 09:31:21 PM,The Police Department responded to the complaint and determined that police action was not necessary.,01/31/2016 02:41:01 PM,07 QUEENS,QUEENS,1032975.0,228780.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79448997915269,-73.82402609329733,"(40.79448997915269, -73.82402609329733)"
106512,32572128,01/31/2016 01:31:14 PM,02/03/2016 01:25:46 AM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10466,4239 WHITE PLAINS ROAD,WHITE PLAINS ROAD,EAST 234 STREET,EAST 235 STREET,,,ADDRESS,BRONX,Precinct,Closed,01/31/2016 09:31:14 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/03/2016 01:25:46 AM,12 BRONX,BRONX,1023847.0,265204.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.89450864717657,-73.8567773861029,"(40.89450864717657, -73.8567773861029)"
106487,32569933,01/31/2016 01:40:32 PM,01/31/2016 02:55:09 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10468,2552 WEBB AVENUE,WEBB AVENUE,WEST 190 STREET,WEST KINGSBRIDGE ROAD,,,ADDRESS,BRONX,Precinct,Closed,01/31/2016 09:40:32 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/31/2016 02:55:09 PM,07 BRONX,BRONX,1010890.0,255112.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.86685789449373,-73.90368303124039,"(40.86685789449373, -73.90368303124039)"
106482,32572301,01/31/2016 01:42:26 PM,01/31/2016 02:29:28 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11215,673 UNION STREET,UNION STREET,4 AVENUE,5 AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,01/31/2016 09:42:26 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,01/31/2016 02:29:28 PM,06 BROOKLYN,BROOKLYN,989147.0,185979.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.677144797360356,-73.98234525681715,"(40.677144797360356, -73.98234525681715)"
106479,32571090,01/31/2016 01:43:12 PM,01/31/2016 01:50:55 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11209,7008 RIDGE CREST TERRACE,RIDGE CREST TERRACE,70 STREET,71 STREET,,,ADDRESS,BROOKLYN,Precinct,Closed,01/31/2016 09:43:12 PM,The Police Department responded to the complaint and determined that police action was not necessary.,01/31/2016 01:50:55 PM,10 BROOKLYN,BROOKLYN,975709.0,171048.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.63615971262401,-74.03077323925638,"(40.63615971262401, -74.03077323925638)"
64407,32624345,02/08/2016 11:38:17 AM,02/08/2016 11:21:21 PM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11377,,,,,QUEENS BOULEVARD,72 STREET,INTERSECTION,WOODSIDE,Precinct,Closed,02/08/2016 07:38:17 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/08/2016 11:21:21 PM,02 QUEENS,QUEENS,1014116.0,208742.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73957476844158,-73.89222570074999,"(40.73957476844158, -73.89222570074998)"
106470,32573875,01/31/2016 01:45:47 PM,02/03/2016 01:26:55 AM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10466,4239 WHITE PLAINS ROAD,WHITE PLAINS ROAD,EAST 234 STREET,EAST 235 STREET,,,ADDRESS,BRONX,Precinct,Closed,01/31/2016 09:45:47 PM,The Police Department reviewed your complaint and provided additional information below.,02/03/2016 01:26:56 AM,12 BRONX,BRONX,1023847.0,265204.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.89450864717657,-73.8567773861029,"(40.89450864717657, -73.8567773861029)"
106461,32569915,01/31/2016 01:47:52 PM,02/01/2016 07:43:51 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11433,,,,,171 STREET,103 ROAD,INTERSECTION,JAMAICA,Precinct,Closed,01/31/2016 09:47:52 PM,The Police Department issued a summons in response to the complaint.,02/01/2016 07:43:51 AM,12 QUEENS,QUEENS,1043264.0,195485.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70304114618878,-73.78715892251712,"(40.70304114618878, -73.78715892251712)"
107264,32571100,01/31/2016 09:47:50 AM,01/31/2016 10:01:01 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11415,84-46 130 STREET,130 STREET,KEW GARDENS ROAD,HILLSIDE AVENUE,,,ADDRESS,KEW GARDENS,Precinct,Closed,01/31/2016 05:47:50 PM,The Police Department responded to the complaint and determined that police action was not necessary.,01/31/2016 10:01:01 AM,09 QUEENS,QUEENS,1033399.0,196167.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.704973364173796,-73.82273314512321,"(40.704973364173796, -73.8227331451232)"
67146,32623712,02/07/2016 10:17:39 PM,02/08/2016 01:43:18 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11235,2601 AVENUE X,AVENUE X,EAST 26 STREET,EAST 27 STREET,,,ADDRESS,BROOKLYN,Precinct,Closed,02/08/2016 06:17:39 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,02/08/2016 01:43:18 AM,15 BROOKLYN,BROOKLYN,999727.0,155477.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.59341114191536,-73.9442720361902,"(40.59341114191536, -73.94427203619021)"
107946,32570496,01/31/2016 02:33:03 AM,01/31/2016 05:01:49 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10306,176 STOBE AVENUE,STOBE AVENUE,HUSSON STREET,HYLAN BOULEVARD,,,ADDRESS,STATEN ISLAND,Precinct,Closed,01/31/2016 10:33:03 AM,The Police Department issued a summons in response to the complaint.,01/31/2016 05:01:49 AM,02 STATEN ISLAND,STATEN ISLAND,956602.0,151706.0,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.5830308964179,-74.09953657006437,"(40.5830308964179, -74.09953657006437)"
44030,32651998,02/11/2016 02:22:48 PM,02/11/2016 06:32:19 PM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11231,HUNTINGTON STREET,HUNTINGTON STREET,COURT STREET,SMITH STREET,,,BLOCKFACE,BROOKLYN,Precinct,Closed,02/11/2016 10:22:48 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/11/2016 06:32:19 PM,06 BROOKLYN,BROOKLYN,984737.0,185423.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67562004388753,-73.99824429991756,"(40.675620043887534, -73.99824429991756)"
107905,32570530,01/31/2016 03:10:44 AM,01/31/2016 01:04:06 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10462,1975 BIRCHALL AVENUE,BIRCHALL AVENUE,,SAGAMORE STREET,,,ADDRESS,BRONX,Precinct,Closed,01/31/2016 11:10:44 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,01/31/2016 01:04:06 PM,11 BRONX,BRONX,1020592.0,248453.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.848546343481004,-73.86864158118877,"(40.84854634348101, -73.86864158118877)"
67155,32622470,02/07/2016 10:16:08 PM,02/08/2016 01:04:39 AM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11236,619 EAST 76 STREET,EAST 76 STREET,BEND,GLENWOOD ROAD,,,ADDRESS,BROOKLYN,Precinct,Closed,02/08/2016 06:16:08 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/08/2016 01:04:39 AM,18 BROOKLYN,BROOKLYN,1006874.0,170865.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6356326417084,-73.91848631867222,"(40.6356326417084, -73.91848631867222)"
3072,32695538,02/16/2016 03:48:01 PM,02/17/2016 12:14:25 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10304,2 DIVINE STREET,DIVINE STREET,DEAD END,WHITAKER PLACE,,,ADDRESS,STATEN ISLAND,Precinct,Closed,02/16/2016 11:48:01 PM,The Police Department reviewed your complaint and provided additional information below.,02/17/2016 12:14:25 AM,02 STATEN ISLAND,STATEN ISLAND,958617.0,156417.0,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.59596769832734,-74.09230017168099,"(40.59596769832734, -74.09230017168099)"
107830,32572359,01/31/2016 04:51:18 AM,01/31/2016 02:10:18 PM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11368,,,,,111 STREET,44 AVENUE,INTERSECTION,CORONA,Precinct,Closed,01/31/2016 12:51:18 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,01/31/2016 02:10:18 PM,04 QUEENS,QUEENS,1024573.0,212169.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74893951838651,-73.85447013756234,"(40.74893951838651, -73.85447013756234)"
107823,32571107,01/31/2016 04:59:31 AM,01/31/2016 02:11:20 PM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11368,111-19 44 AVENUE,44 AVENUE,111 STREET,114 STREET,,,ADDRESS,CORONA,Precinct,Closed,01/31/2016 12:59:31 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,01/31/2016 02:11:20 PM,04 QUEENS,QUEENS,1024709.0,212228.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74910083709268,-73.85397894549756,"(40.749100837092676, -73.85397894549757)"
67185,32619319,02/07/2016 09:59:50 PM,02/08/2016 05:06:22 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11378,61-34 56 DRIVE,56 DRIVE,61 STREET,64 STREET,,,ADDRESS,MASPETH,Precinct,Closed,02/08/2016 05:59:50 AM,The Police Department issued a summons in response to the complaint.,02/08/2016 05:06:22 AM,05 QUEENS,QUEENS,1011020.0,202930.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.723632176609335,-73.90342102501033,"(40.723632176609335, -73.90342102501033)"
64730,32630187,02/08/2016 10:54:46 AM,02/08/2016 01:56:57 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11229,,,,,EAST   24 STREET,AVENUE S,INTERSECTION,BROOKLYN,Precinct,Closed,02/08/2016 06:54:46 PM,The Police Department reviewed your complaint and provided additional information below.,02/08/2016 01:56:57 PM,15 BROOKLYN,BROOKLYN,998558.0,159496.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.60444444601306,-73.94847273580463,"(40.60444444601306, -73.94847273580463)"
3134,32699359,02/16/2016 03:42:33 PM,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11223,,,,,CONEY ISLAND AVENUE,HUTCHINSON COURT,INTERSECTION,BROOKLYN,Precinct,Assigned,02/16/2016 11:42:33 PM,Your complaint has been received by the Police Department and additional information will be available later.,02/16/2016 04:32:00 PM,15 BROOKLYN,BROOKLYN,994942.0,158707.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.60228390235237,-73.96149624917906,"(40.60228390235237, -73.96149624917906)"
107897,32571681,01/31/2016 03:17:48 AM,01/31/2016 03:51:01 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11230,634 WESTMINSTER ROAD,WESTMINSTER ROAD,NEWKIRK AVENUE,FOSTER AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,01/31/2016 11:17:48 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,01/31/2016 03:51:02 AM,14 BROOKLYN,BROOKLYN,993743.0,170039.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.63338925309416,-73.96579812269681,"(40.63338925309416, -73.96579812269681)"
107899,32572894,01/31/2016 03:16:17 AM,01/31/2016 05:10:45 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11419,104-18 123 STREET,123 STREET,LIBERTY AVENUE,107 AVENUE,,,ADDRESS,SOUTH RICHMOND HILL,Precinct,Closed,01/31/2016 11:16:17 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/31/2016 05:10:45 AM,10 QUEENS,QUEENS,1033994.0,189695.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68720594003324,-73.82063494731842,"(40.68720594003324, -73.82063494731842)"
